"name","price_amount"
"1 Mainstream",""
"1000 Markets",""
"1000memories",""
"100Plus",""
"1010data","$500,000,000.00"
"yelster digital gmbh (former 123people)",""
"12Society",""
"13th Lab",""
"170 Systems","$43,000,000.00"
"1CLICK",""
"1DocWay",""
"1DocWay",""
"280 North","$20,000,000.00"
"280 North","$20,000,000.00"
"29West",""
"2lemetry",""
"2nd Story Software, Inc.","$287,500,000.00"
"2Web Technologies",""
"2Wire","$475,000,000.00"
"3 day Blinds",""
"360Commerce",""
"360T","$796,000,000.00"
"XDN/3Crowd Technologies",""
"3DC",""
"Nimble VR",""
"3Leaf",""
"3LM",""
"3PAR","$2,350,000,000.00"
"3TIER","$14,700,000.00"
"3V Transaction Services","$14,500,000.00"
"3ware","$150,000,000.00"
"41st Parameter","$324,000,000.00"
"42Networks",""
"5Rocks",""
"4DK Technologies",""
"4Home",""
"4meee","$5,000,000.00"
"500Friends",""
"56.com","$80,000,000.00"
"5by",""
"5min Media","$65,000,000.00"
"5th Finger",""
"5to1","$30,000,000.00"
"60mo",""
"640 Labs",""
"6N Silicon",""
"6th Sense Analytics",""
"6Wunderkinder / Wunderlist",""
"7digital",""
"91 Wireless","$1,900,000,000.00"
"99Bill",""
"9Cookies",""
"9SLIDES",""
"A-Life Medical",""
"A+ Network",""
"A4Vision",""
"Aardvark","$50,000,000.00"
"Aarohi communication",""
"Abacast",""
"Abaxia","$13,000,000.00"
"AbbeyPost",""
"AbeBooks",""
"Ablation Frontiers",""
"Web Reservations International","$458,000,000.00"
"A Break Please",""
"AbZorba Games",""
"Academic Earth",""
"Academy123",""
"AcceleCare Wound Centers",""
"Accenx Technologies",""
"Accept Software",""
"Accertify","$150,000,000.00"
"Access Closure","$320,000,000.00"
"Access Northeast",""
"Access Scientific",""
"Inherited Health",""
"Acclaim Games",""
"Acclarent","$785,000,000.00"
"Acclaris Holdings","$140,000,000.00"
"Accordent Technologies",""
"Accumetrics",""
"Accupost Corporation",""
"Accuvant","$225,000,000.00"
"Aceva Technologies",""
"Achievers",""
"Aciex Therapeutics","$120,000,000.00"
"Blackwave",""
"Acirro",""
"Acision","$210,000,000.00"
"Acme Packet","$2,100,000,000.00"
"Acompli","$200,000,000.00"
"Acopia Networks","$210,000,000.00"
"Acoustic Technologies",""
"Acquaintable",""
"Acta technology",""
"Actacell",""
"Acteavo",""
"Actimis Pharmaceuticals","$515,000,000.00"
"Actimize",""
"Action Engine",""
"Activaero","$130,000,000.00"
"Active Junky",""
"Active Voice Corporation",""
"ACTIVE Network",""
"ActivIdentity",""
"ActiViews",""
"Activiomics","$4,000,000.00"
"Actix","$120,000,000.00"
"ActoGeniX","$60,000,000.00"
"Acton Pharmaceuticals","$135,000,000.00"
"Actona Technologies","$82,000,000.00"
"ActSocial",""
"Acuity Pharmaceuticals",""
"Ad Infuse",""
"Adisn","$5,500,000.00"
"Ad2games",""
"Adallom","$320,000,000.00"
"Adap.tv, now a part of ONE by AOL","$405,000,000.00"
"Adapt Technologies",""
"AdaptiveBlue",""
"Adaptiv.io",""
"Adaptivity",""
"ADAPTIX","$160,000,000.00"
"Adaytum",""
"adBrite",""
"ADCentricity",""
"Adchemy",""
"AdChina",""
"Adcole Corporation",""
"Adconion Media Group","$235,000,000.00"
"Adea","$39,000,000.00"
"Adea",""
"AdECN",""
"Adenyo","$100,000,000.00"
"Adept Cloud",""
"AdGrok","$10,000,000.00"
"Adheron Therapeutics","$580,000,000.00"
"ADI Engineering",""
"Adiana","$215,000,000.00"
"Adify","$300,000,000.00"
"Adility",""
"Adjug",""
"Adku",""
"Admatic",""
"Admeld","$400,000,000.00"
"ADMETA",""
"AdMob","$750,000,000.00"
"AdMobius",""
"Adnexus","$415,000,000.00"
"Adometry By Google",""
"Adomo",""
"ADOR",""
"AdoTube",""
"AdQuantic",""
"adQuota",""
"AdReady",""
"adSage","$100,000,000.00"
"AdStack",""
"Adtuitive",""
"Aductions","$3,500,000.00"
"Adura Technologies",""
"Advanced Analogic Technologies","$262,500,000.00"
"Advanced BioHealing","$750,000,000.00"
"Advanced Data Exchange",""
"Advanced Digital Design",""
"Advanced In Vitro Cell Technologies","$3,340,000.00"
"Advanced Liquid Logic","$96,000,000.00"
"Advanced Mobile Solutions","$2,500,000.00"
"ART Advanced Recognition Technologies",""
"AdvanDx",""
"Advasense",""
"Advent Solar",""
"Adventure Central",""
"Adviva",""
"AdWhirl",""
"AdXpose","$22,000,000.00"
"AEA Technology",""
"Aegis Analytical Corp.",""
"Aegis Lightwave",""
"AEP Networks","$57,500,000.00"
"Aepona","$80,000,000.00"
"AeroScout","$238,800,000.00"
"Aesica Pharmaceuticals","$374,000,000.00"
"Aesthera Corporation","$5,250,000.00"
"Affinity",""
"Affinity Labs","$61,000,000.00"
"Affinium Pharmaceuticals",""
"Affinnova",""
"Affordable Interior Systems",""
"AfterNic",""
"AGEIA Technologies",""
"Agencourt Bioscience","$150,000,000.00"
"Agencyport Software",""
"Aggregate Knowledge","$119,000,000.00"
"AgileZen",""
"Agility Communications",""
"Agilys",""
"Agistics",""
"Agito Networks","$11,400,000.00"
"agnion Energy",""
"AgraQuest","$425,000,000.00"
"Aha Mobile",""
"AHP Billing Services",""
"Ahura Scientific","$145,000,000.00"
"Aicent",""
"Aicent","$290,000,000.00"
"PostRank",""
"aiHit",""
"Air2Web","$19,000,000.00"
"Airborne Mobile",""
"AirClic","$29,700,000.00"
"AirDefense",""
"Aires Pharmaceuticals","$5,200,000.00"
"Airespace","$450,000,000.00"
"AirMagnet",""
"AirPatrol Corporation","$30,000,000.00"
"Airpost.io",""
"AirWatch","$1,540,000,000.00"
"Airwide Solutions",""
"AisleBuyer",""
"aitainment",""
"Ajubeo",""
"Akamon Entertainment","$23,900,000.00"
"Akamon Entertainment","$25,000,000.00"
"AkaRx","$255,000,000.00"
"Akimbi Systems",""
"Akimbo Financial","$3,000,000.00"
"Akorri Networks","$60,000,000.00"
"Akrion",""
"Akros Silicon",""
"Aktino",""
"Alantos Pharmaceuticals",""
"Alaric Systems","$84,000,000.00"
"Albeo Technologies",""
"AlchemyAPI",""
"Aldagen",""
"ALENTY",""
"Alere","$600,000,000.00"
"alfabet",""
"Algonomics",""
"Algorithmics",""
"Algorithmics",""
"Alignent Software","$5,500,000.00"
"alike",""
"Alios BioPharma","$1,750,000,000.00"
"Alkermes",""
"All Web Leads",""
"Allclasses",""
"Allegiance (now MaritzCX)",""
"Allegro Development Corporation","$40,000,000.00"
"Allegro Diagnostics","$21,000,000.00"
"ALLO Communications","$46,250,000.00"
"Alloy Digital",""
"Allurent",""
"Allworx","$25,000,000.00"
"Allylix",""
"Alnara Pharmaceuticals",""
"Aloqa",""
"AlphaDraft",""
"Alphamosaic",""
"Alta Devices",""
"AlterPoint",""
"Althea Technologies",""
"Altitun",""
"Altius Education",""
"Altocom",""
"Altor Networks","$95,000,000.00"
"Altruik",""
"8thBridge",""
"Alverix","$40,000,000.00"
"Alvesta",""
"Always Prepped",""
"AM Analytics",""
"Amalfi Semiconductor",""
"Amaxa Biosystems",""
"Amber Networks","$421,000,000.00"
"AmberPoint",""
"Ambit Biosciences","$410,000,000.00"
"Ambric",""
"Amcom Software","$163,300,000.00"
"AMEE",""
"Amen.",""
"American Fiber Systems",""
"AmeriVault",""
"amiando","$13,700,000.00"
"Amiato",""
"Amicas",""
"Amie Street",""
"Amira Pharmaceuticals","$325,000,000.00"
"Amitive",""
"Amobee","$321,000,000.00"
"Amorcyte",""
"Amorelie",""
"Amperex Technology",""
"Amphora Discovery",""
"Amplidata",""
"Amplimmune","$500,000,000.00"
"AmSafe",""
"AmWINS Group",""
"AMX","$365,000,000.00"
"AnaCatum",""
"Anacomp",""
"Anafocus","$34,200,000.00"
"Anametrix",""
"Anchor Bay Technologies",""
"Andera","$44,500,000.00"
"AndersonBrecon","$308,000,000.00"
"ANDevices",""
"Andiamo Systems",""
"Anesthetix Holdings",""
"AngioScore","$230,000,000.00"
"Angstro",""
"Annovation BioPharma",""
"Anobit Technologies",""
"Anodyne Health","$30,000,000.00"
"Anomalous Networks",""
"Ansible","$150,000,000.00"
"Ansira","$50,000,000.00"
"Answerology",""
"Answers Corporation",""
"Answers Corporation",""
"AntCor",""
"Antenna Software",""
"AnySource Media","$15,000,000.00"
"Anystream",""
"Anywhere.FM",""
"AOL","$4,400,000,000.00"
"Aorato","$200,000,000.00"
"AorTx","$9,300,000.00"
"Apache Design Solutions","$310,000,000.00"
"ApeniMED",""
"Aperio Technologies",""
"Apertio","$140,000,000.00"
"Aperto Networks",""
"API Cryptek",""
"Apiphany",""
"Aplica",""
"AppArchitect",""
"AppAssure Software",""
"AppCentral, Inc.",""
"Appetas",""
"Appfluent Technology","$18,000,000.00"
"AppGate Network Security","$3,560,000.00"
"AppHero",""
"Appia","$100,000,000.00"
"Appifier",""
"Appilog","$49,000,000.00"
"Appinions",""
"AppIQ",""
"Appiterate",""
"Appium Technologies",""
"AppJet",""
"AppLabs",""
"Applancer",""
"ApplianceWare",""
"Application Security",""
"Applied Predictive Technologies","$600,000,000.00"
"Applifier",""
"Applimation","$40,000,000.00"
"AppMakr",""
"AppointmentCity",""
"Appoxee","$25,000,000.00"
"AppRedeem",""
"Approva",""
"apprupt",""
"Appsecute",""
"Appsfire","$30,000,000.00"
"AppSlingr",""
"Appstores.com",""
"Apptera",""
"ApptheGame - Swoopt Daily Fantasy Sports",""
"AppThwack",""
"Apptis, Inc",""
"Apptive",""
"AppTrigger",""
"Appurify",""
"Aprilis",""
"Aprimo","$525,000,000.00"
"Apriso","$205,000,000.00"
"Apsmart",""
"Aptalis Pharma",""
"Aptalis Pharma","$2,900,000,000.00"
"Aptana",""
"Aptela",""
"Aptito",""
"Aptiv Solutions","$143,500,000.00"
"Apture",""
"AQS",""
"Aquafadas",""
"AqueSys","$300,000,000.00"
"Aragon Pharmaceuticals","$1,000,000,000.00"
"Aragon Surgical",""
"Aramsco",""
"Arantech",""
"Arbor Photonics",""
"Arbortext","$190,000,000.00"
"Arc Solutions",""
"Arch Rock Corporation",""
"Archimedes Pharma","$230,000,000.00"
"Archipelago","$2,147,483,647.00"
"Archivas","$120,000,000.00"
"Archive",""
"Archus Orthopedics",""
"ArcMail",""
"Arcot Systems",""
"arcplan Information Services AG",""
"ArcSight","$1,500,000,000.00"
"Arctic Silicon Devices","$12,000,000.00"
"Ardian","$800,000,000.00"
"Argon Networks",""
"Argyle Social",""
"Arieso","$85,000,000.00"
"Ariosa Diagnostics, Inc.","$625,000,000.00"
"Aristos Logic",""
"Arius Research","$142,700,000.00"
"Arkeia Software",""
"Armor5",""
"Armorize Technologies","$25,000,000.00"
"Arpeggi Inc",""
"Arris Networks",""
"Arrow Therapeutics",""
"ArrowPoint Communications","$5,700,000,000.00"
"Arroyo Optics",""
"Arroyo Video Solutions",""
"Arsenal Digital Solutions",""
"Art of Defence",""
"Artifact Uprising",""
"Artisan Mobile",""
"ArtsApp",""
"Artspace",""
"ArtusLabs",""
"Aruba Networks","$2,700,000,000.00"
"Arxan Technologies","$132,000,000.00"
"Arysta Lifesciences","$3,510,000,000.00"
"Arzoon",""
"Ascade","$19,000,000.00"
"Ascend Health",""
"Ascension Orthopedics","$65,000,000.00"
"ASDIS",""
"Asempra Technologies","$1,850,000.00"
"Asian Food Channel",""
"Ask.com","$1,850,000,000.00"
"Aspreva Pharmaceuticals Corp",""
"Assemblage",""
"Asset International",""
"ASSET4",""
"AssetMetrix Corporation",""
"Desk","$50,000,000.00"
"Associated Content","$90,000,000.00"
"AssuraMed",""
"ASTADIA",""
"Astaro",""
"Astech",""
"Aster Data Systems","$263,000,000.00"
"Asthmatx","$443,500,000.00"
"Astoria Software",""
"Astrid",""
"Astrum Software",""
"Astrum Solar","$54,000,000.00"
"Atakama Labs",""
"Atempo",""
"Athena Semiconductors",""
"Athenix",""
"AtheroMed","$117,000,000.00"
"AtHoc",""
"Atom Entertainment","$200,000,000.00"
"Aton Pharma","$318,000,000.00"
"atOnePlace.com",""
"Atrenta",""
"Atreo Medical",""
"Atreus Systems",""
"Atritech","$375,000,000.00"
"Atrua Technologies","$600,000,000.00"
"Atsana Semiconductor","$1,350,000.00"
"Attachments.me",""
"Attassa",""
"Attenex","$88,000,000.00"
"Attributor",""
"AuctionDrop",""
"AuctionPay",""
"Auctomatic","$5,000,000.00"
"AudioAudit",""
"AudioBoo",""
"AudioCaseFiles",""
"Audiolife",""
"AudioMicro",""
"Auditude","$120,000,000.00"
"AUPEO!",""
"Auspex Pharmaceuticals","$3,200,000,000.00"
"Ausra",""
"Austin-Tetra",""
"AuthenTec","$356,000,000.00"
"Authentica",""
"Peopleclick Authoria","$63,100,000.00"
"Authy",""
"Autobase",""
"AutoDa",""
"Automated Insights","$80,000,000.00"
"AutoMD",""
